date,generation_biomass,generation_fossil_hard_coal,generation_fossil_oil,generation_nuclear,generation_other_renewable,generation_solar,generation_waste,price_actual
2015-01-02 01:00:00+01:00,368,1190,192,7106,61,54,167,58.46
2015-01-02 02:00:00+01:00,358,1023,189,7107,60,54,167,54.7
2015-01-02 03:00:00+01:00,353,1016,188,7107,59,53,181,54.91
2015-01-02 04:00:00+01:00,354,1103,189,7106,61,53,181,53.07
2015-01-02 05:00:00+01:00,354,1120,190,7105,59,63,171,54.23
2015-01-02 06:00:00+01:00,357,1167,189,7105,60,55,185,58.22
2015-01-02 07:00:00+01:00,357,1067,194,7105,60,54,186,67.55
2015-01-02 08:00:00+01:00,359,1098,196,7105,59,116,183,70.33
2015-01-02 09:00:00+01:00,357,1293,193,7107,59,1039,188,71.26
2015-01-02 10:00:00+01:00,377,1339,200,7107,60,2373,185,75.86
2015-01-02 11:00:00+01:00,376,1335,199,7106,59,3699,181,73.65
2015-01-02 12:00:00+01:00,376,1336,197,7104,60,4154,177,74.19
2015-01-02 13:00:00+01:00,373,1341,208,7105,61,4074,183,71.51
2015-01-02 14:00:00+01:00,383,1354,195,7105,58,3851,190,71.04
2015-01-02 15:00:00+01:00,391,1298,195,7105,57,3619,188,71.24
2015-01-02 16:00:00+01:00,395,1184,195,7106,59,3024,188,70.64
2015-01-02 17:00:00+01:00,394,1047,195,7105,59,2053,185,72.85
2015-01-02 18:00:00+01:00,410,1178,199,7106,64,769,178,82.55
2015-01-02 19:00:00+01:00,435,1345,205,7104,68,266,199,83.33
2015-01-02 20:00:00+01:00,435,1354,214,7106,69,165,203,83.23
2015-01-02 21:00:00+01:00,437,1348,215,7107,69,137,204,79.06
2015-01-02 22:00:00+01:00,437,1429,217,7107,66,137,204,76.2
2015-01-02 23:00:00+01:00,443,1432,220,7108,64,137,203,71.75
2015-01-03 00:00:00+01:00,478,1798,246,7096,76,62,201,66.82
2015-01-03 01:00:00+01:00,463,1351,245,7095,68,62,198,63.35
2015-01-03 02:00:00+01:00,452,1258,244,7096,66,61,201,58.79
2015-01-03 03:00:00+01:00,454,1196,244,7098,68,61,208,57.44
2015-01-03 04:00:00+01:00,449,1138,202,7097,67,61,201,55.29
2015-01-03 05:00:00+01:00,453,1180,189,7098,66,61,188,56.22
2015-01-03 06:00:00+01:00,458,1246,188,7099,68,61,187,58.13
2015-01-03 07:00:00+01:00,452,1175,190,7098,67,63,186,62.06
2015-01-03 08:00:00+01:00,438,1249,190,7097,66,233,186,67.36
2015-01-03 09:00:00+01:00,433,1415,226,7097,68,820,197,69.21
2015-01-03 10:00:00+01:00,419,1597,249,7097,68,1665,205,70.35
2015-01-03 11:00:00+01:00,431,1569,250,7093,71,2488,202,68.77
2015-01-03 12:00:00+01:00,425,1379,247,7094,64,3218,202,68.82
2015-01-03 13:00:00+01:00,427,1193,249,7095,64,3695,208,68.23
2015-01-03 14:00:00+01:00,421,1155,248,7093,64,3780,210,67.97
2015-01-03 15:00:00+01:00,410,1137,206,7092,62,3370,202,62.76
2015-01-03 16:00:00+01:00,397,1205,190,7092,61,2692,200,62.03
2015-01-03 17:00:00+01:00,393,1289,190,7095,59,1931,201,66.69
2015-01-03 18:00:00+01:00,418,1399,218,7094,62,1015,212,71.5
2015-01-03 19:00:00+01:00,458,1539,243,7094,66,502,222,72.14
2015-01-03 20:00:00+01:00,462,1555,244,7096,67,355,221,72.45
2015-01-03 21:00:00+01:00,462,1507,245,7095,69,291,221,72.86
2015-01-03 22:00:00+01:00,463,1441,247,7094,71,207,219,70.1
2015-01-03 23:00:00+01:00,456,1291,248,7094,70,117,217,67.62
2015-01-04 00:00:00+01:00,391,2559,323,7086,58,692,162,55.22
2015-01-04 01:00:00+01:00,351,2755,310,7087,58,684,160,50.54
2015-01-04 02:00:00+01:00,350,2678,306,7086,57,648,161,48.68
2015-01-04 03:00:00+01:00,366,2426,311,7086,56,640,162,48.02
2015-01-04 04:00:00+01:00,377,2046,310,7087,56,563,161,47.06
2015-01-04 05:00:00+01:00,372,2248,310,7086,58,372,157,46.79
2015-01-04 06:00:00+01:00,377,2148,320,7085,54,179,155,47.63
2015-01-04 07:00:00+01:00,396,2100,325,7086,56,129,156,47.44
2015-01-04 08:00:00+01:00,415,2143,359,7080,53,357,156,50.84
2015-01-04 09:00:00+01:00,418,2244,368,7080,54,1634,159,54.84
2015-01-04 10:00:00+01:00,402,2209,370,7079,55,3830,162,59.95
2015-01-04 11:00:00+01:00,411,2303,371,7083,60,4937,161,59.35
2015-01-04 12:00:00+01:00,403,2307,371,7085,57,5302,165,57.03
2015-01-04 13:00:00+01:00,407,2353,362,7087,58,5590,158,59.22
2015-01-04 14:00:00+01:00,393,2324,369,7085,60,5668,150,58.56
2015-01-04 15:00:00+01:00,400,2164,365,7083,59,5593,149,52.07
2015-01-04 16:00:00+01:00,397,2049,374,7080,57,5316,147,52.15
2015-01-04 17:00:00+01:00,393,2104,383,7079,59,4907,152,61.12
2015-01-04 18:00:00+01:00,402,2098,381,7078,61,4200,153,71.98
2015-01-04 19:00:00+01:00,409,2075,383,7080,59,2911,150,74.64
2015-01-04 20:00:00+01:00,438,2162,385,7082,59,1392,170,75.38
2015-01-04 21:00:00+01:00,436,2445,389,7084,57,748,177,76.49
2015-01-04 22:00:00+01:00,424,2169,394,7085,59,696,174,73.83
2015-01-04 23:00:00+01:00,403,1770,391,7088,59,672,166,69.51
2015-01-05 00:00:00+01:00,373,4247,352,4036,72,691,158,70.77
2015-01-05 01:00:00+01:00,363,3112,310,4029,74,668,153,64.89
2015-01-05 02:00:00+01:00,359,2580,311,4028,75,662,156,60.91
2015-01-05 04:00:00+01:00,334,2573,308,4030,71,570,155,58.04
2015-01-05 05:00:00+01:00,338,2551,300,4031,72,428,153,59.57
2015-01-05 06:00:00+01:00,341,2351,291,4031,73,243,152,69.73
2015-01-05 07:00:00+01:00,343,2202,301,4031,74,155,143,72.97
2015-01-05 08:00:00+01:00,345,2138,317,4030,74,500,143,77.92
2015-01-05 09:00:00+01:00,369,2239,331,4028,76,1333,140,79.59
2015-01-05 10:00:00+01:00,374,2545,337,4011,74,2482,140,81.75
2015-01-05 11:00:00+01:00,376,2422,333,3829,74,3339,155,80.82
2015-01-05 18:00:00+01:00,370,2217,336,3712,71,2944,148,89.08
2015-01-05 19:00:00+01:00,375,2541,333,3743,75,1971,147,90.97
2015-01-05 20:00:00+01:00,371,2509,334,3773,73,958,153,88.51
2015-01-05 21:00:00+01:00,370,2804,326,3803,74,605,161,82.85
2015-01-05 22:00:00+01:00,362,2891,334,3834,75,518,161,80.52
2015-01-05 23:00:00+01:00,370,2958,328,3868,72,394,158,72.18
2015-01-06 00:00:00+01:00,535,5130,257,4826,66,626,212,71.48
2015-01-06 01:00:00+01:00,532,4990,258,4828,63,624,208,64.76
2015-01-06 02:00:00+01:00,530,5207,266,4830,63,616,204,60.22
2015-01-06 03:00:00+01:00,532,5418,262,4846,65,582,206,57.14
2015-01-06 04:00:00+01:00,541,5497,266,4895,66,576,206,53.94
2015-01-06 05:00:00+01:00,545,5753,263,4903,64,499,204,53.43
2015-01-06 06:00:00+01:00,540,6154,257,4911,63,415,202,56.68
2015-01-06 07:00:00+01:00,546,6527,283,4924,63,412,184,63.49
2015-01-06 08:00:00+01:00,546,6774,343,4930,63,1168,196,66.75
2015-01-06 09:00:00+01:00,544,6973,368,4942,64,3018,262,73.07
2015-01-06 10:00:00+01:00,543,7101,361,4952,64,4129,268,78.95
2015-01-06 11:00:00+01:00,539,7198,351,4950,63,4642,260,75.91
2015-01-06 12:00:00+01:00,547,7215,349,4956,62,4976,259,73.12
2015-01-06 13:00:00+01:00,538,7210,356,4959,61,5044,260,68.02
2015-01-06 14:00:00+01:00,534,7159,365,4953,68,4887,258,66.67
2015-01-06 15:00:00+01:00,537,7067,366,4956,69,4641,254,65.08
2015-01-06 16:00:00+01:00,537,6830,364,4955,66,4279,251,66.1
2015-01-06 17:00:00+01:00,532,6873,362,4799,69,3824,252,72
2015-01-06 18:00:00+01:00,533,7100,356,4186,69,3132,267,78.6
2015-01-06 19:00:00+01:00,528,7172,351,4368,69,2383,254,81.18
2015-01-06 20:00:00+01:00,536,7194,365,4657,71,1586,229,81.65
2015-01-06 21:00:00+01:00,535,7264,364,4878,70,891,230,78.63
2015-01-06 22:00:00+01:00,531,7279,360,4961,72,696,231,73.2
2015-01-06 23:00:00+01:00,528,7227,352,4959,72,669,232,72.46
2015-01-07 00:00:00+01:00,499,7996,371,6000,55,1280,219,67.24
2015-01-07 01:00:00+01:00,502,7838,370,5995,55,1253,213,64.17
2015-01-07 02:00:00+01:00,491,8048,368,5997,55,1231,217,62.12
2015-01-07 03:00:00+01:00,495,7837,360,5998,56,1223,220,62.11
2015-01-07 04:00:00+01:00,503,7827,360,6003,55,1189,219,60.05
2015-01-07 05:00:00+01:00,505,7910,360,6005,57,1142,220,62.48
2015-01-07 06:00:00+01:00,506,7856,364,6003,54,1043,220,70.01
2015-01-07 07:00:00+01:00,505,7855,374,6000,55,979,217,75.2
2015-01-07 08:00:00+01:00,510,7982,378,5997,55,1336,219,83.3
2015-01-07 09:00:00+01:00,501,7991,381,5996,54,2121,220,93.14
2015-01-07 10:00:00+01:00,494,7979,364,5989,51,2841,220,100.45
2015-01-07 11:00:00+01:00,498,7982,367,5974,51,3556,219,95.17
2015-01-07 12:00:00+01:00,491,8005,362,5971,52,3756,214,85.23
2015-01-07 13:00:00+01:00,495,7975,367,5969,50,3639,215,81.5
2015-01-07 14:00:00+01:00,501,7839,369,5964,53,4133,215,77.29
2015-01-07 15:00:00+01:00,498,7782,367,5961,51,4896,214,76.61
2015-01-07 16:00:00+01:00,491,7807,367,5956,52,4647,217,77.15
2015-01-07 17:00:00+01:00,495,7866,368,5969,52,4184,217,79.51
2015-01-07 18:00:00+01:00,497,8058,364,5978,52,3631,215,91.05
2015-01-07 19:00:00+01:00,483,8129,371,5986,51,2772,215,95.29
2015-01-07 20:00:00+01:00,482,8163,354,5981,52,2013,222,91.25
2015-01-07 21:00:00+01:00,481,8002,386,5985,53,1193,226,87.08
2015-01-07 22:00:00+01:00,481,7853,384,5984,52,636,220,78.15
2015-01-07 23:00:00+01:00,479,7601,381,5987,52,573,215,75.07
2015-01-08 00:00:00+01:00,546,7280,383,6741,67,433,260,73.73
2015-01-08 01:00:00+01:00,516,6774,370,6741,67,391,257,70.99
2015-01-08 02:00:00+01:00,508,6349,372,6742,67,352,256,68.3
2015-01-08 03:00:00+01:00,509,6078,373,6743,65,328,251,64.22
2015-01-08 04:00:00+01:00,518,5984,373,6744,67,327,251,63.53
2015-01-08 05:00:00+01:00,528,5817,361,6748,66,320,249,66.7
2015-01-08 06:00:00+01:00,533,5785,354,6750,67,265,246,69.79
2015-01-08 07:00:00+01:00,525,5570,347,6748,66,223,246,75.57
2015-01-08 08:00:00+01:00,529,6289,332,6747,69,708,216,82.36
2015-01-08 09:00:00+01:00,534,6720,305,6749,66,2225,214,87.03
2015-01-08 10:00:00+01:00,533,7301,315,6749,67,3943,226,91.08
2015-01-08 11:00:00+01:00,531,7468,315,6744,66,4514,232,89.29
2015-01-08 12:00:00+01:00,522,7503,311,6741,68,4926,254,85.45
2015-01-08 13:00:00+01:00,509,7551,311,6739,69,5067,237,80.33
2015-01-08 14:00:00+01:00,504,7542,269,6732,69,5092,234,77.33
2015-01-08 15:00:00+01:00,506,7517,263,6730,66,5019,232,77.03
2015-01-08 16:00:00+01:00,500,7462,259,6729,67,4803,225,78.15
2015-01-08 17:00:00+01:00,502,7437,258,6728,67,4507,223,80.48
2015-01-08 18:00:00+01:00,514,7345,258,6717,69,4010,228,90.87
2015-01-08 19:00:00+01:00,513,7419,270,6727,69,3321,227,94.11
2015-01-08 20:00:00+01:00,511,7224,295,6736,68,2089,224,90.26
2015-01-08 21:00:00+01:00,516,7191,301,6748,67,957,223,84.66
2015-01-08 22:00:00+01:00,519,7012,301,6762,70,721,219,77.05
2015-01-08 23:00:00+01:00,515,6549,302,6760,67,691,231,73.14
2015-01-09 00:00:00+01:00,489,7695,314,6846,66,39,273,67.7
2015-01-09 01:00:00+01:00,483,7691,301,6852,68,38,231,61.05
2015-01-09 02:00:00+01:00,485,7435,297,6854,67,37,227,59.61
2015-01-09 03:00:00+01:00,477,7544,296,6855,67,37,224,58.65
2015-01-09 04:00:00+01:00,480,7375,298,6858,66,36,227,58.4
2015-01-09 05:00:00+01:00,482,7442,288,6862,66,41,226,59.77
2015-01-09 06:00:00+01:00,477,7465,299,6861,66,45,234,68.38
2015-01-09 07:00:00+01:00,477,7674,299,6864,67,58,239,75.5
2015-01-09 08:00:00+01:00,495,7654,333,6866,67,317,244,81.67
2015-01-09 09:00:00+01:00,493,7801,348,6866,67,1107,245,85.8
2015-01-09 10:00:00+01:00,490,7866,352,6863,68,2133,248,92
2015-01-09 11:00:00+01:00,490,7645,353,6860,69,3193,250,89.66
2015-01-09 12:00:00+01:00,487,7610,360,6855,66,3932,250,85.5
2015-01-09 13:00:00+01:00,492,7710,364,6853,68,4156,250,81.22
2015-01-09 14:00:00+01:00,490,7738,374,6855,70,4285,243,77.08
2015-01-09 15:00:00+01:00,486,7777,366,6857,72,4135,242,77.33
2015-01-09 16:00:00+01:00,480,7817,372,6855,70,3883,238,80.09
2015-01-09 17:00:00+01:00,487,7645,386,6858,71,3513,242,81.64
2015-01-09 18:00:00+01:00,481,7179,390,6858,69,3253,263,88.51
2015-01-09 19:00:00+01:00,470,6873,391,6860,72,2403,281,89
2015-01-09 20:00:00+01:00,468,6633,397,6862,72,1060,279,87.11
2015-01-09 21:00:00+01:00,476,7175,388,6862,71,530,278,82.13
2015-01-09 22:00:00+01:00,477,7443,395,6867,73,444,277,78.39
2015-01-09 23:00:00+01:00,477,7447,384,6849,72,386,274,72.17
2015-01-10 00:00:00+01:00,537,7380,412,6012,71,384,230,61.8
2015-01-10 01:00:00+01:00,537,7378,399,6014,72,167,227,59.46
2015-01-10 02:00:00+01:00,544,7369,389,6014,69,102,221,55.97
2015-01-10 03:00:00+01:00,553,7318,386,6014,69,103,226,55.03
2015-01-10 04:00:00+01:00,559,7337,385,6014,68,102,238,54.53
2015-01-10 05:00:00+01:00,564,7357,371,6014,66,102,244,55.44
2015-01-10 06:00:00+01:00,561,7242,386,6013,67,102,254,57.22
2015-01-10 07:00:00+01:00,559,7236,401,6010,66,103,264,63.84
2015-01-10 08:00:00+01:00,566,7260,423,6010,68,233,265,71.4
2015-01-10 09:00:00+01:00,564,7419,431,6005,68,1209,257,74.51
2015-01-10 10:00:00+01:00,563,7347,436,6004,66,2927,252,77.05
2015-01-10 11:00:00+01:00,547,7333,425,6003,67,4515,254,75.49
2015-01-10 12:00:00+01:00,554,7368,419,6003,69,5044,250,74.23
2015-01-10 13:00:00+01:00,560,7380,420,5879,71,5107,242,74
2015-01-10 14:00:00+01:00,565,7409,425,6007,73,4900,241,72.86
2015-01-10 15:00:00+01:00,561,7403,420,6005,76,4463,241,69.68
2015-01-10 16:00:00+01:00,556,7314,410,5997,72,4215,240,68.36
2015-01-10 17:00:00+01:00,564,7246,428,6000,76,3756,243,71.77
2015-01-10 18:00:00+01:00,558,6732,428,6001,75,2857,247,77.55
2015-01-10 19:00:00+01:00,565,6632,439,6002,79,1303,254,78.67
2015-01-10 20:00:00+01:00,577,6937,423,6004,77,633,269,78.46
2015-01-10 21:00:00+01:00,562,7119,427,6005,74,510,266,78.1
2015-01-10 22:00:00+01:00,575,7025,429,6007,76,497,263,70.98
2015-01-10 23:00:00+01:00,578,7088,427,6008,74,466,263,62.14
2015-01-11 00:00:00+01:00,525,4352,211,5041,71,26,274,60.35
2015-01-11 01:00:00+01:00,515,3416,211,5039,71,25,268,54.98
2015-01-11 02:00:00+01:00,510,2719,211,5041,70,25,273,53.36
2015-01-11 03:00:00+01:00,500,2553,210,5042,63,25,269,52.62
2015-01-11 04:00:00+01:00,503,2460,194,5039,63,25,264,49.17
2015-01-11 05:00:00+01:00,499,2335,200,5040,64,25,262,47.97
2015-01-11 06:00:00+01:00,501,2187,209,5041,64,23,256,49.1
2015-01-11 07:00:00+01:00,496,1855,211,5043,61,35,250,49.91
2015-01-11 08:00:00+01:00,495,1779,211,5043,62,394,259,51.53
2015-01-11 09:00:00+01:00,516,1869,212,5044,63,1228,259,55.87
2015-01-11 10:00:00+01:00,547,1811,212,5042,61,2045,258,55.81
2015-01-11 11:00:00+01:00,539,1847,213,5042,62,2423,255,54.7
2015-01-11 12:00:00+01:00,554,1910,213,5043,63,2437,259,52.89
2015-01-11 13:00:00+01:00,550,1928,212,5042,62,2022,259,54.58
2015-01-11 14:00:00+01:00,546,1857,213,5042,60,1630,256,54.82
2015-01-11 15:00:00+01:00,542,1899,211,5042,62,1334,255,52.08
2015-01-11 16:00:00+01:00,544,1859,210,5042,60,860,251,52.05
2015-01-11 17:00:00+01:00,553,1982,210,5042,62,254,262,55.59
2015-01-11 18:00:00+01:00,570,2327,211,5041,69,57,270,77.6
2015-01-11 19:00:00+01:00,567,2424,214,5043,69,54,279,80.36
2015-01-11 20:00:00+01:00,559,2193,213,5043,70,55,281,82.29
2015-01-11 21:00:00+01:00,545,2114,214,5045,69,34,272,82.47
2015-01-11 22:00:00+01:00,554,1960,213,5045,68,31,273,78.06
2015-01-11 23:00:00+01:00,537,1727,206,5046,69,31,272,70.13
2015-01-12 00:00:00+01:00,468,7023,401,5370,67,44,234,60.81
2015-01-12 01:00:00+01:00,444,7141,386,5398,66,42,231,58.27
2015-01-12 02:00:00+01:00,425,7128,380,5428,65,42,229,53.65
2015-01-12 03:00:00+01:00,446,7102,378,5452,66,42,227,51.95
2015-01-12 04:00:00+01:00,463,7019,375,5452,66,42,224,51.4
2015-01-12 05:00:00+01:00,467,7060,378,5452,67,42,229,52.93
2015-01-12 06:00:00+01:00,470,7071,379,5459,66,42,226,58.8
2015-01-12 07:00:00+01:00,464,7159,399,5465,67,45,224,70.52
2015-01-12 08:00:00+01:00,478,7140,417,5464,66,157,226,75.72
2015-01-12 09:00:00+01:00,484,7148,411,5465,63,1104,219,81.92
2015-01-12 10:00:00+01:00,483,7214,415,5464,61,2190,228,85.63
2015-01-12 11:00:00+01:00,479,7290,421,5469,66,3012,229,86.76
2015-01-12 12:00:00+01:00,479,7311,425,5466,70,3262,231,82.78
2015-01-12 13:00:00+01:00,479,7419,431,5468,70,3208,231,76.7
2015-01-12 14:00:00+01:00,474,7389,433,5467,68,3027,227,74.35
2015-01-12 15:00:00+01:00,474,7403,424,5467,68,2630,229,73.6
2015-01-12 16:00:00+01:00,482,7443,423,5468,69,1615,229,74.74
2015-01-12 17:00:00+01:00,483,7430,421,5469,70,422,231,76.34
2015-01-12 18:00:00+01:00,488,7369,422,5470,77,86,234,84.23
2015-01-12 19:00:00+01:00,488,7374,420,5471,76,63,235,87.72
2015-01-12 20:00:00+01:00,488,7372,419,5471,76,56,234,86.54
2015-01-12 21:00:00+01:00,491,7372,432,5471,76,44,235,81.3
2015-01-12 22:00:00+01:00,489,7369,435,5472,74,42,234,69.06
2015-01-12 23:00:00+01:00,487,7273,434,5473,75,42,235,62.43
2015-01-13 00:00:00+01:00,514,6070,275,7104,65,32,268,55.61
2015-01-13 01:00:00+01:00,516,5834,270,7102,63,32,267,52.54
2015-01-13 02:00:00+01:00,519,5456,270,7103,65,32,269,50.97
2015-01-13 03:00:00+01:00,515,5421,270,7103,65,32,270,49.57
2015-01-13 04:00:00+01:00,515,5325,274,7102,63,32,271,48.74
2015-01-13 05:00:00+01:00,515,5466,274,7103,65,32,269,49.56
2015-01-13 06:00:00+01:00,520,5735,277,7104,65,32,269,53.96
2015-01-13 07:00:00+01:00,518,6706,288,7102,63,37,269,65.89
2015-01-13 08:00:00+01:00,520,7228,334,7102,64,56,267,73.97
2015-01-13 09:00:00+01:00,527,7103,335,7101,64,516,261,78.25
2015-01-13 10:00:00+01:00,526,7075,338,7101,63,1475,268,83.44
2015-01-13 11:00:00+01:00,502,6823,335,7102,64,2284,267,81.74
2015-01-13 12:00:00+01:00,505,6933,349,7101,69,2857,270,78.22
2015-01-13 13:00:00+01:00,517,7080,353,7099,76,3217,271,74.18
2015-01-13 14:00:00+01:00,517,7024,350,7099,75,3253,266,69.45
2015-01-13 15:00:00+01:00,519,7030,349,7098,76,3084,264,69.58
2015-01-13 16:00:00+01:00,533,7022,358,7098,76,2475,268,72.97
2015-01-13 17:00:00+01:00,538,7085,361,7097,77,1187,271,75.59
2015-01-13 18:00:00+01:00,535,7068,359,7098,76,303,263,86.26
2015-01-13 19:00:00+01:00,548,7241,350,7098,81,98,266,88.57
2015-01-13 20:00:00+01:00,548,7257,350,7098,79,80,275,87.32
2015-01-13 21:00:00+01:00,546,7274,345,7097,78,44,275,80.78
2015-01-13 22:00:00+01:00,537,7231,350,7099,75,44,271,77.41
2015-01-13 23:00:00+01:00,532,7192,346,7099,76,35,270,67
2015-01-14 00:00:00+01:00,528,6948,287,7098,71,28,270,60.23
2015-01-14 01:00:00+01:00,531,6121,282,7099,71,28,269,54.69
2015-01-14 02:00:00+01:00,535,5281,283,7100,72,27,269,53.88
2015-01-14 03:00:00+01:00,530,5202,283,7099,71,27,269,53.19
2015-01-14 04:00:00+01:00,524,5267,280,7098,71,27,260,52.57
2015-01-14 05:00:00+01:00,524,5587,277,7098,72,27,257,57.13
2015-01-14 06:00:00+01:00,532,6404,281,7096,71,27,255,70.06
2015-01-14 07:00:00+01:00,540,7072,324,7097,70,32,269,76.53
2015-01-14 08:00:00+01:00,539,7498,343,7097,71,39,276,83.97
2015-01-14 09:00:00+01:00,535,7571,345,7097,70,411,282,92.24
2015-01-14 10:00:00+01:00,507,7581,347,7098,70,1258,283,97.95
2015-01-14 11:00:00+01:00,530,7230,351,7099,72,1960,284,94.52
2015-01-14 12:00:00+01:00,534,7472,352,7099,75,2480,276,86.31
2015-01-14 13:00:00+01:00,533,7568,359,7099,73,2688,272,79.91
2015-01-14 14:00:00+01:00,528,7573,362,7099,71,2683,272,76.06
2015-01-14 15:00:00+01:00,516,7557,360,7098,73,2420,271,75.64
2015-01-14 16:00:00+01:00,518,7568,352,7099,76,2003,265,77.09
2015-01-14 17:00:00+01:00,525,7593,352,7099,76,905,264,79.62
2015-01-14 18:00:00+01:00,531,7589,353,7099,75,213,255,88.06
2015-01-14 19:00:00+01:00,531,7602,356,7100,80,112,254,88.75
2015-01-14 20:00:00+01:00,540,7578,355,7101,80,79,265,86.91
2015-01-14 21:00:00+01:00,527,7560,347,7102,80,32,265,79.91
2015-01-14 22:00:00+01:00,504,7474,346,7102,79,31,265,70.11
2015-01-14 23:00:00+01:00,501,6948,339,7102,78,31,261,59.27
2015-01-15 00:00:00+01:00,499,6296,286,7105,72,31,263,49.14
2015-01-15 01:00:00+01:00,494,5599,276,7103,72,31,257,45.38
2015-01-15 02:00:00+01:00,464,4801,293,7103,72,31,257,43.68
2015-01-15 03:00:00+01:00,464,4487,296,7103,73,31,257,42.49
2015-01-15 04:00:00+01:00,463,4427,294,7104,71,31,263,40.7
2015-01-15 05:00:00+01:00,465,4933,297,7104,68,31,264,41.48
2015-01-15 06:00:00+01:00,496,5435,299,7102,70,31,261,46.24
2015-01-15 07:00:00+01:00,493,6129,303,7099,70,33,261,56.67
2015-01-15 08:00:00+01:00,505,6488,341,7073,70,50,263,69.9
2015-01-15 09:00:00+01:00,501,6525,345,7065,71,562,242,76.22
2015-01-15 10:00:00+01:00,485,6524,345,7066,72,1336,246,79.18
2015-01-15 11:00:00+01:00,487,6312,362,7066,75,1984,242,77.66
2015-01-15 12:00:00+01:00,483,6248,362,7085,73,2287,260,70.25
2015-01-15 13:00:00+01:00,484,6270,363,7099,74,2274,257,57.96
2015-01-15 14:00:00+01:00,488,6044,362,7100,74,2062,266,54.4
2015-01-15 15:00:00+01:00,496,6075,360,7100,72,1593,266,53.87
2015-01-15 16:00:00+01:00,469,6046,364,7100,74,939,269,57.8
2015-01-15 17:00:00+01:00,441,6197,367,7099,73,287,270,65.77
2015-01-15 18:00:00+01:00,488,6449,366,7100,75,67,273,78.95
2015-01-15 19:00:00+01:00,513,6607,367,7100,79,62,265,80.36
2015-01-15 20:00:00+01:00,518,6641,369,7101,77,61,269,79.38
2015-01-15 21:00:00+01:00,528,6395,343,7102,80,59,269,70.31
2015-01-15 22:00:00+01:00,474,5720,336,7100,76,59,261,56.77
2015-01-15 23:00:00+01:00,462,5457,334,7101,75,59,252,53.49
2015-01-16 00:00:00+01:00,508,4845,297,7101,72,59,244,45.92
2015-01-16 01:00:00+01:00,464,4589,293,7101,72,59,241,43.7
2015-01-16 02:00:00+01:00,480,4223,292,7101,73,59,248,42.91
2015-01-16 03:00:00+01:00,478,4248,292,7100,69,59,251,42.15
2015-01-16 04:00:00+01:00,478,4204,290,7101,69,59,261,42.73
2015-01-16 05:00:00+01:00,499,4138,292,7100,71,59,261,45.02
2015-01-16 06:00:00+01:00,497,4558,296,7102,71,59,262,50.41
2015-01-16 07:00:00+01:00,508,5522,341,7100,73,59,267,66.58
2015-01-16 08:00:00+01:00,523,6111,357,7100,69,40,269,78.3
2015-01-16 09:00:00+01:00,527,6052,345,7105,69,352,268,85.84
2015-01-16 10:00:00+01:00,520,5501,365,7104,69,1229,272,89.11
2015-01-16 11:00:00+01:00,478,5460,354,7102,75,1855,265,85.59
2015-01-16 12:00:00+01:00,461,5816,367,7101,76,2270,254,78.55
2015-01-16 13:00:00+01:00,469,5715,371,7102,75,2466,261,71.22
2015-01-16 14:00:00+01:00,493,5456,367,7102,76,2388,266,61.29
2015-01-16 15:00:00+01:00,498,5508,345,7101,78,2126,265,59.4
2015-01-16 16:00:00+01:00,495,5876,345,7101,77,1652,257,66.69
